step,t_rel,q0,q1,q2,q3,q4,q5,finger,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,action0,action1,action2,action3,action4,action5,action6
23,0.46,-0.4357291685570557,-1.7789279634885573,1.5776409729735863,-1.703460311901886,-1.6211260874162758,-0.16342108573173184,7.194370205563486e-05,0.33524253563339307,-0.02407134598446289,0.2385960950852304,0.3728778642114486,-0.017869841064302373,0.11491796585501345,0.9998216105062214,1.508424935295773e-06,5.081047276919577e-06,0.018887750968627433,0.19262329312705412,-0.1703484949017943,0.1412884596437168,0.23756441908579817,0.2102070301771164,0.9417758584022522,-0.054812073707580566,-0.2834441363811493,0.4449502229690552,-0.36086854338645935,-0.5879970788955688
24,0.48,-0.4461390276493052,-1.7463553704426487,1.5752650535717514,-1.7164374271044056,-1.614086310045486,-0.17596662658436063,5.62375556868826e-05,0.34075815584134245,-0.02872451216925604,0.231160912241771,0.37287780442745616,-0.017869824538128475,0.11491803141078724,0.9998216105132057,1.0694696227915944e-06,3.6024502043915346e-06,0.018887750968759366,0.19262329312705412,-0.1703484949017943,0.1412884596437168,0.23756437705431832,0.27303123474121094,0.9352166652679443,-0.039786167442798615,-0.23043705523014069,0.4359743893146515,-0.3536025285720825,-0.5873567461967468
25,0.5,-0.4543211581490644,-1.7133014111840337,1.5730180791259583,-1.7289189675973125,-1.6061023460574804,-0.18865425643783143,4.449144310598844e-05,0.34614787272172937,-0.03239960521901814,0.2232215042127959,0.3728777620408293,-0.01786981282113302,0.11491807783610918,0.9998216105167166,7.582524129464057e-07,2.5541319756807043e-06,0.018887750968825598,0.19262329312705412,-0.1703484949017943,0.1412884596437168,0.23756434726010872,0.32090243697166443,0.9265311360359192,-0.02450179122388363,-0.18844613432884216,0.4174365997314453,-0.34952253103256226,-0.5873030424118042
26,0.52,-0.46035857066970626,-1.6798572338331619,1.5709460749748252,-1.7408419163239144,-1.5973738360489753,-0.20146771147429715,3.5733377133069096e-05,0.35136675696185293,-0.0350951683639233,0.2147881510456079,0.37287773198881174,-0.017869804513811153,0.11491811071370349,0.9998216105184813,5.37600385556815e-07,1.810877633611209e-06,0.01888775096885891,0.19262329312705412,-0.1703484949017943,0.1412884596437168,0.23756432614029446,0.35389453172683716,0.9147217869758606,-0.010323673486709595,-0.16306380927562714,0.3876233696937561,-0.34939828515052795,-0.5883029103279114
27,0.54,-0.46437904485855697,-1.6461237014899666,1.5690872561543834,-1.7522144708553027,-1.5881311776224556,-0.21440494502704052,2.9219785998299384e-05,0.3563703322989811,-0.03684218003346268,0.20589185337267482,0.37287771068197395,-0.017869798623931735,0.11491813399707901,0.9998216105193684,3.8115852830136343e-07,1.2839117538745173e-06,0.018887750968875544,0.19262329312705412,-0.1703484949017943,0.1412884596437168,0.23756431116935425,0.37325426936149597,0.8978142142295837,0.00282160728238523,-0.15444359183311462,0.34467342495918274,-0.3524123728275299,-0.5898776650428772
28,0.56,-0.466544684066841,-1.6122247971843284,1.5674810152181564,-1.7630892400921518,-1.5786414089493828,-0.22746912933247818,2.4375122772621547e-05,0.3611111371540594,-0.03770220391559903,0.19658113590686532,0.37287769557544165,-0.01786979444801157,0.11491815048600701,0.9998216105198142,2.702414255752928e-07,9.10293531688166e-07,0.018887750968883916,0.19262329312705412,-0.1703484949017943,0.1412884596437168,0.23756430055707622,0.3806705176830292,0.8720785975456238,0.01751546747982502,-0.15632657706737518,0.28629475831985474,-0.35644838213920593,-0.5905929207801819
29,0.58,-0.4670456757019187,-1.5783311625848364,1.5661861308369511,-1.7735170244826848,-1.5692163863023512,-0.24065763051078765,2.0746502813660318e-05,0.365529912343828,-0.03776310583157595,0.18691639111808195,0.3728776848649141,-0.01786979148728524,0.11491816216322275,0.9998216105200384,1.9160125767410765e-07,6.453984066522681e-07,0.018887750968888162,0.19262329312705412,-0.1703484949017943,0.1412884596437168,0.23756429303446566,0.37690991163253784,0.8306581974029541,0.03870410844683647,-0.1571108102798462,0.20931817591190338,-0.3587241768836975,-0.5881924629211426
30,0.6,-0.46610433061002005,-1.5447010057295274,1.565303240879097,-1.783490027914855,-1.5602219374142055,-0.2539506803623805,1.835602127444687e-05,0.36954257068369334,-0.037135487012791006,0.17696768301705224,0.3728776772711492,-0.017869789388130015,0.11491817043286025,0.999821610520151,1.3584538659710834e-07,4.5758778983430467e-07,0.018887750968890265,0.19262329312705412,-0.1703484949017943,0.1412884596437168,0.23756428770199017,0.36009302735328674,0.7612383365631104,0.07227861136198044,-0.1420014202594757,0.11007937043905258,-0.35614868998527527,-0.5795129537582397
31,0.62,-0.4639940231545093,-1.5117479687502264,1.564992888739194,-1.7928843825522252,-1.5520783501780142,-0.2672987466937848,1.695168169910687e-05,0.37302703728072056,-0.035952625482674694,0.1668242660871108,0.37287767188716736,-0.017869787899828266,0.11491817628930223,0.9998216105202076,9.631446290940997e-08,3.2443002583106657e-07,0.018887750968891334,0.19262329312705412,-0.1703484949017943,0.1412884596437168,0.23756428392201107,0.3242601454257965,0.6429800987243652,0.12268612533807755,-0.09546451270580292,-0.012738311663269997,-0.34497079253196716,-0.5598852634429932
32,0.64,-0.46107658194126694,-1.480134104957463,1.5654787734093347,-1.8014158778996672,-1.5452341398533525,-0.28060502995008496,1.558852719891291e-05,0.3758178733549459,-0.03437559708389985,0.15662190890622354,0.3728776680699215,-0.017869786844621583,0.11491818043675411,0.9998216105202359,6.82870220955373e-08,2.3002111707735636e-07,0.018887750968891857,0.19262329312705412,-0.1703484949017943,0.1412884596437168,0.23756428124253337,0.2579546868801117,0.44682419300079346,0.19047197699546814,-0.004766105208545923,-0.15290239453315735,-0.31974199414253235,-0.5212504267692566
