step,t_rel,q0,q1,q2,q3,q4,q5,finger,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,action0,action1,action2,action3,action4,action5,action6
21,0.42,-0.2656060565381265,-1.7718610813435896,1.6730606748803898,-1.6541404353903522,-1.735520403208779,0.040223553169856374,3.1273209208895335e-05,0.302505828048846,0.014622993030578693,0.19893119659983152,0.31909268622631853,-0.015754519519704652,0.11491785904134073,0.9996720049105398,-1.9767487261446495e-06,2.1963032287221963e-06,0.025610204790487683,0.212,0.212,0.165,0.2566109612776182,-0.08299631625413895,0.7342739105224609,0.3773000240325928,-0.4225156009197235,0.016452204436063766,0.4236817955970764,-0.7442764043807983
22,0.44,-0.275638350639575,-1.7446263315113064,1.6799831483166232,-1.6640982420477686,-1.745630858987529,0.05014254910427547,2.4788436174702483e-05,0.30376284530344255,0.008674912353069053,0.19041281461818632,0.31909266112477563,-0.01575454330342255,0.11491795576686097,0.99967200491271,-1.4015069155912652e-06,1.557170176961384e-06,0.0256102047905432,0.212,0.212,0.165,0.25661095303339393,-0.07597925513982773,0.7257922887802124,0.31034547090530396,-0.4548368752002716,0.09413861483335495,0.38131311535835266,-0.7660109400749207
23,0.46,-0.28497095949115786,-1.717231381109431,1.687183888635816,-1.674897302548247,-1.7541324560906861,0.06040984294319543,1.987223065166613e-05,0.3048915166281011,0.003316919713082043,0.18171097645910608,0.3190926433279313,-0.015754560165936873,0.11491802426613093,0.9996720049138011,-9.936647961910463e-07,1.1040296479454637e-06,0.02561020479057116,0.212,0.212,0.165,0.25661094720364275,-0.06817768514156342,0.7061417698860168,0.22838711738586426,-0.47295284271240234,0.16741806268692017,0.3308694362640381,-0.7800911664962769
24,0.48,-0.2936247826404227,-1.6898215710418032,1.6943142961751925,-1.6864681939989445,-1.7609089134382045,0.07079020364649058,1.6143101445503078e-05,0.3059711415269946,-0.0014434174165579156,0.17295875607565947,0.31909263071003896,-0.015754572121392914,0.11491807277617687,0.9996720049143497,-7.045067954060726e-07,7.827553036666105e-07,0.02561020479058524,0.212,0.212,0.165,0.2566109430812487,-0.055526234209537506,0.6716188788414001,0.14574988186359406,-0.47352227568626404,0.23716916143894196,0.27910223603248596,-0.7845025658607483
25,0.5,-0.3015887328013489,-1.6626020153541816,1.7010978579999885,-1.6986705214454778,-1.7658635536759824,0.08108777041899584,1.3317535114608028e-05,0.30706412286684065,-0.005592858297445311,0.16427674870057454,0.31909262176398523,-0.01575458059778101,0.1149181071302351,0.9996720049146256,-4.994947305957185e-07,5.549728577578465e-07,0.025610204790592346,0.212,0.212,0.165,0.2566109401661857,-0.034660425037145615,0.6181033253669739,0.07477371394634247,-0.4527968168258667,0.3053858280181885,0.23234787583351135,-0.7768027782440186
26,0.52,-0.30881477907796384,-1.6358501655684208,1.7073534049311405,-1.7112799959093283,-1.7689041945823498,0.09116155494084094,1.1183869766800755e-05,0.30820698938943747,-0.009102673433288633,0.155769227126391,0.31909261542124673,-0.01575458660752725,0.11491813145926814,0.9996720049147643,-3.541416025963762e-07,3.9347557689769853e-07,0.025610204790595816,0.212,0.212,0.165,0.2566109381048669,-0.0035641018766909838,0.5404706597328186,0.022156033664941788,-0.4061208963394165,0.3755474090576172,0.19536739587783813,-0.7531112432479858
27,0.54,-0.31522079319666074,-1.6099328674986153,1.7129858136423528,-1.7239740218386945,-1.7699314968714908,0.10092399800133273,9.746439006336612e-06,0.30940694724950846,-0.011922884350808516,0.14753189806972963,0.31909261092425023,-0.01575459086843246,0.11491814868873976,0.9996720049148338,-2.5108640992198393e-07,2.7897419920885313e-07,0.02561020479059758,0.212,0.212,0.165,0.25661093664725804,0.037750884890556335,0.4319918751716614,-0.013709022663533688,-0.32846546173095703,0.4502030611038208,0.16862338781356812,-0.7059751749038696
28,0.56,-0.3207034778982615,-1.5853267406445146,1.7179467378984674,-1.736323141139232,-1.7688468628530074,0.11031255679877583,8.982247430561455e-06,0.3106459614942549,-0.013985970842061206,0.13967138376935465,0.31909260773588116,-0.01575459388941294,0.11491816089041015,0.9996720049148686,-1.780203386122226e-07,1.9779278952461365e-07,0.0256102047905985,0.212,0.212,0.165,0.2566109356165508,0.08639482408761978,0.28479069471359253,-0.042304523289203644,-0.21617728471755981,0.5264877676963806,0.1452442705631256,-0.6206197738647461
29,0.58,-0.32516611203388696,-1.56263133333716,1.7221755731630521,-1.7477997499800388,-1.7655932874441795,0.11923102868172004,8.855290633472078e-06,0.3118924983562938,-0.015225554710809695,0.1323316404118206,0.3190926054753273,-0.015754596031288256,0.11491816953146529,0.9996720049148863,-1.2621650487919034e-07,1.4023518198011933e-07,0.02561020479059889,0.212,0.212,0.165,0.25661093488771763,0.13500966131687164,0.09289546310901642,-0.07856594026088715,-0.06994184851646423,0.5923174023628235,0.10972332954406738,-0.4691021144390106
30,0.6,-0.32856147536844105,-1.5425591970391002,1.72552658080453,-1.7578129623661471,-1.7602290953034503,0.1274656606666045,9.15040850068161e-06,0.3131204818357314,-0.015611810788350184,0.12572004659495953,0.3190926038725939,-0.0157545975498785,0.11491817565094323,0.9996720049148952,-8.948757825189991e-08,9.942682879296082e-08,0.02561020479059912,0.212,0.212,0.165,0.25661093437234744,0.17148011922836304,-0.14345818758010864,-0.1419220268726349,0.10258070379495621,0.6261832118034363,0.03872155398130417,-0.2073497474193573
