action_rate,approach_open,box_target,grasp,gripper_align,gripper_box,hold_target,lift,no_floor_collision,robot_target_qpos,success_bonus,step,reward_total,box_target_dist,success,out_of_bounds
-0.12482237815856934,0.26587575674057007,0.0,0.0,0.3650747612118721,0.03659713268280029,0.0,0.0,0.25,0.06371533870697021,0.0,0,0.8564406037330627,0.4444641172885895,0.0,0.0
-0.3130169153213501,0.28780895471572876,0.0,0.0,0.36923661828041077,0.03656113147735596,0.0,0.0,0.25,0.06350501775741577,0.0,1,0.6940948963165283,0.4444645643234253,0.0,0.0
-0.006135107576847077,0.33731091022491455,0.0,0.0,0.3709504008293152,0.036376237869262695,0.0,0.0,0.25,0.06310982108116149,0.0,2,1.0516122579574585,0.4446483850479126,0.0,0.0
-0.0051113516092300415,0.4054279327392578,0.0,0.0,0.37035271525382996,0.03623402118682861,0.0,0.0,0.25,0.06257852911949158,0.0,3,1.1194819211959839,0.4446364939212799,0.0,0.0
-0.005335618928074837,0.4826801121234894,0.0,0.0,0.37209946662187576,0.03613626956939697,0.0,0.0,0.25,0.061971670389175414,0.0,4,1.197551965713501,0.44463247060775757,0.0,0.0
-0.006291789561510087,0.5585612058639526,0.0,0.0,0.37671279162168503,0.036165595054626465,0.0,0.0,0.25,0.06135422587394714,0.0,5,1.2765021324157715,0.44463104009628296,0.0,0.0
-0.004851388931274414,0.6176627278327942,0.0,0.0,0.38418494164943695,0.03640007972717285,0.0,0.0,0.25,0.06077327728271484,0.0,6,1.3441697359085083,0.44463059306144714,0.0,0.0
-0.002650499902665615,0.6583718657493591,0.0,0.0,0.3942506015300751,0.036890268325805664,0.0,0.0,0.25,0.06024050116539001,0.0,7,1.3971027135849,0.4446304142475128,0.0,0.0
-0.0017992287874221803,0.6867302060127258,0.0,0.0,0.4068274423480034,0.037668466567993164,0.0,0.0,0.25,0.05975756049156189,0.0,8,1.4391844272613525,0.44463035464286804,0.0,0.0
-0.0010366639122366907,0.7068074941635132,0.0,0.0,0.42187556624412537,0.03875625133514404,0.0,0.0,0.25,0.059319180250167844,0.0,9,1.475721836090088,0.44463032484054565,0.0,0.0
-0.000638362392783165,0.7212197780609131,0.0,0.0,0.439390167593956,0.04017305374145508,0.0,0.0,0.25,0.058915489912033076,0.0,10,1.5090601444244385,0.44463032484054565,0.0,0.0
-0.00043816226534545424,0.7316800951957703,0.0,0.0,0.45937690883874893,0.04193985462188721,0.0,0.0,0.25,0.05853481292724609,0.0,11,1.5410934686660767,0.44463032484054565,0.0,0.0
-0.00034394406247884035,0.7393372058868408,0.0,0.0,0.48183824867010117,0.0440831184387207,0.0,0.0,0.25,0.058165419101715084,0.0,12,1.573080062866211,0.44463032484054565,0.0,0.0
-0.0003118072170764208,0.7449799180030823,0.0,0.0,0.5067495629191399,0.04663443565368652,0.0,0.0,0.25,0.05779645442962646,0.0,13,1.6058485507965088,0.44463032484054565,0.0,0.0
-0.000322125549428165,0.7491582036018372,0.0,0.0,0.5340728908777237,0.04963374137878418,0.0,0.0,0.25,0.057418727874755854,0.0,14,1.6399613618850708,0.44463032484054565,0.0,0.0
-0.0003667344339191914,0.7522632479667664,0.0,0.0,0.563739612698555,0.05312788486480713,0.0,0.0,0.25,0.057024908065795896,0.0,15,1.6757889986038208,0.44463032484054565,0.0,0.0
-0.0004424552898854017,0.7545768022537231,0.0,0.0,0.5956429615616798,0.05716812610626221,0.0,0.0,0.25,0.0566095232963562,0.0,16,1.7135549783706665,0.44463032484054565,0.0,0.0
-0.0005479269195348025,0.7563031911849976,0.0,0.0,0.6296275556087494,0.06181037425994873,0.0,0.0,0.25,0.05616885423660278,0.0,17,1.7533621788024902,0.44463032484054565,0.0,0.0
-0.0006808812730014325,0.7575925588607788,0.0,0.0,0.6654642522335052,0.06711125373840332,0.0,0.0,0.25,0.055700665712356566,0.0,18,1.7951878309249878,0.44463032484054565,0.0,0.0
-0.0008332135155797005,0.7585558891296387,0.0,0.0,0.7028444856405258,0.07312345504760742,0.0,0.0,0.25,0.055203795433044434,0.0,19,1.8388943672180176,0.44463032484054565,0.0,0.0
-0.0009843464009463788,0.7592755556106567,0.0,0.0,0.7413802295923233,0.07989239692687988,0.0,0.0,0.25,0.054677367210388184,0.0,20,1.8842412233352661,0.44463032484054565,0.0,0.0
-0.001098845060914755,0.7598127722740173,0.0,0.0,0.7806062698364258,0.08745169639587402,0.0,0.0,0.25,0.05412046909332275,0.0,21,1.9308923482894897,0.44463032484054565,0.0,0.0
-0.001133281644433737,0.7602138519287109,0.0,0.0,0.8200348913669586,0.09582209587097168,0.0,0.0,0.25,0.05353181362152099,0.0,22,1.9784692525863647,0.44463032484054565,0.0,0.0
-0.0010558690875768662,0.7605142593383789,0.0,0.0,0.8591903001070023,0.10501420497894287,0.0,0.0,0.25,0.05290959477424621,0.0,23,2.0265724658966064,0.44463032484054565,0.0,0.0
-0.0008798615075647832,0.7607393264770508,0.0,0.0,0.8976984024047852,0.11503732204437256,0.0,0.0,0.25,0.05225234627723694,0.0,24,2.07484769821167,0.44463032484054565,0.0,0.0
-0.0006810463964939117,0.7605774998664856,0.0,0.0,0.9353513270616531,0.1259136199951172,0.0,0.0,0.25,0.05155974626541138,0.0,25,2.122720956802368,0.44463032484054565,0.0,0.0
