config,n,n_in_square,median_error_m,best_error_m
L0_none,21,0,0.2737250471964767,0.26162246030462943
L1_pos,17,0,0.2794542836767908,0.2515268854036191
L2_pos_cube,21,3,0.4025079931372152,0.03865487460023836
L3_pos_cube_robot,13,0,0.3033116556295281,0.2645155095903028
L4_full,15,2,0.2783596052143249,0.05308784712215618
