config,cube,episode_id,repeat,place_error_logged_m,place_error_m,in_square
L2_pos_cube,3cm,4,1,0.34349884347603066,0.29248534311267615,False
L2_pos_cube,3cm,2,1,0.4293200338813844,0.05988482908344499,True
L2_pos_cube,3cm,5,1,0.5759464803516213,0.3839900031250363,False
L2_pos_cube,3cm,1,1,0.5799465743319394,0.4592769835483464,False
L2_pos_cube,3cm,0,3,0.5402991938793523,0.41997226316354186,False
L2_pos_cube,3cm,4,3,0.5882317067160036,0.7559245006029397,False
L2_pos_cube,3cm,1,3,0.5366128617103442,0.297006625456643,False
L2_pos_cube,3cm,3,1,0.5775721852554693,0.4240486981604845,False
L2_pos_cube,4cm,7,3,0.5360612639775447,0.397482948566575,False
L2_pos_cube,3cm,6,3,0.6147772352409039,0.26832174049418667,False
L2_pos_cube,3cm,1,2,0.5707574372703481,0.4300460209899919,False
L2_pos_cube,3cm,5,2,0.7536131936287893,0.4025079931372152,False
L2_pos_cube,3cm,5,3,0.5429595368187127,0.3668180746846928,False
L2_pos_cube,4cm,7,2,0.528918180354472,0.3875930865678109,False
L2_pos_cube,3cm,0,2,0.5450971432646052,0.426780725211099,False
L2_pos_cube,3cm,2,2,0.46945372870248125,0.04623200729301112,True
L2_pos_cube,3cm,6,1,0.603232045671106,0.26606848132260397,False
L2_pos_cube,3cm,0,1,0.5336424784822661,0.4216669120722265,False
L2_pos_cube,3cm,3,3,0.5709027366825751,0.409312460942225,False
L2_pos_cube,3cm,3,2,0.5673284019887255,0.4164596699360735,False
L2_pos_cube,3cm,6,2,0.7247475846307946,0.5088580897926407,False
L0_none,3cm,2,3,0.7170130983629065,0.2774327330876604,False
L0_none,4cm,7,1,0.5383238678497012,0.38946403795133544,False
L0_none,3cm,3,1,0.7246902100313023,0.28576086394712896,False
L0_none,3cm,4,2,0.7122345343511504,0.27373757407802274,False
L0_none,3cm,5,1,0.5901475163891301,0.26177106796524063,False
L0_none,3cm,4,1,0.712249460250459,0.2737472316627213,False
L0_none,4cm,8,3,0.719185356264984,0.2801930996529828,False
L0_none,3cm,5,1,0.5970103016966404,0.26311561300827924,False
L0_none,3cm,4,3,0.712226643920658,0.2737250471964767,False
L0_none,3cm,4,3,0.5898048101036165,0.26162246030462943,False
L0_none,3cm,3,3,0.7215618426394421,0.28382724372111173,False
L0_none,3cm,3,1,0.5382056092560816,0.38968680361467584,False
L0_none,4cm,7,3,0.5383125812344359,0.38948339393193704,False
L0_none,3cm,6,3,0.6018758109562703,0.2686276618894428,False
L0_none,4cm,8,1,0.7191777517805858,0.2801786008143216,False
L0_none,3cm,5,2,0.5969778525212609,0.2631033693868198,False
L0_none,3cm,5,3,0.5969645878342074,0.26307881032628677,False
L0_none,3cm,4,2,0.59006979624912,0.261795813219078,False
L0_none,4cm,7,2,0.5383223393733306,0.3895011951104619,False
L0_none,3cm,4,1,0.5900386433358765,0.26178598785270324,False
L0_none,4cm,8,2,0.7192057585777831,0.2802019188458108,False
L0_none,3cm,2,2,0.7170069741362453,0.27741829105187876,False
L0_none,3cm,3,2,0.7246865586945681,0.2857612128047529,False
L0_none,3cm,6,1,0.6018941151688458,0.26865570637228703,False
L0_none,3cm,3,3,0.5382270216981684,0.38964477445172174,False
L0_none,3cm,3,2,0.5382823679341131,0.38973606848399417,False
L0_none,3cm,6,2,0.6019171960704257,0.2686480068663588,False
