config_id,R_sim,R_real,selection_freq,regret,regret_ci_lo,regret_ci_hi,n_common_episodes
L2_pos_cube,2937.611975436863,1853.3120389500582,0.6351,0.0,0.0,1025.4312982989588,3
L3_pos_cube_robot,2776.629794820958,1072.118527505766,0.3649,0.0,0.0,1025.4312982989588,3
L1_pos,2562.8967177177515,1509.0490230743326,0.0,0.0,0.0,1025.4312982989588,3
L4_full,2389.8570357012068,1615.4591153862002,0.0,0.0,0.0,1025.4312982989588,3
L0_none,385.0141857610365,489.7192655426443,0.0,0.0,0.0,1025.4312982989588,3
