stage,L0_none,L1_pos,L2_pos_cube,L3_pos_cube_robot,L4_full
approach,1.259615539298554,0.6059067722835914,0.8086766337412579,0.5998746294662173,0.8073185572374131
grasp,,0.07658215889303611,0.21144851841089993,0.12086901424549461,0.06083067699142014
lift,,0.19579506405166133,0.7154716662345557,0.14878604875145457,0.02660869434946003
transport,,0.14128940049413363,0.34063222726766373,0.09933052829138427,0.008491881555999966
regularizer,1.4186168842842237,1.2798947895225405,1.5403351452217866,1.3778132307561557,1.3801304116418824
