config,n,tcp_rms_median_mm,E_onestep_median_rad2,ttd_median_steps,ttd_median_s,n_never_diverged
L0_none,20,1.01635288577795,7.801314998388374e-06,15.0,0.2969309283353133,3
L1_pos,17,1.1365665219505001,1.0113182982541625e-05,21.0,0.4165158190611318,0
L2_pos_cube,23,1.1581778870166999,8.146891800353326e-06,20.0,0.3967701288944217,0
L3_pos_cube_robot,13,0.8927742667776001,7.015883949387022e-06,75.5,1.496833073738013,1
L4_full,18,0.9626910990034,7.317358533877304e-06,15.0,0.2973808339148665,0
