config,n_episodes,R_sim,R_real,retention,ret_ci_lo,ret_ci_hi,gap,gap_ci_lo,gap_ci_hi,noise_floor,gate
L0_none,5,369.9075268971906,615.6415753107118,1.664312106527691,0.9982157402689278,2.901682224691807,-245.7340484135212,-593.8461471290849,0.8012801854560166,171.90744667072755,within_noise_floor
L1_pos,6,3586.143974677709,1794.9762289076507,0.500530999754121,0.41205046393677097,0.6454174467959997,1791.1677457700587,1063.265766315356,2535.539920383618,762.3503338691615,reportable
L2_pos_cube,7,3163.2671475767893,2276.4018341935707,0.7196362899470572,0.5507936565501602,1.058801000976503,886.8653133832182,-144.08925372570346,1647.9065298423714,959.271097499946,within_noise_floor
L3_pos_cube_robot,5,3523.6123631940877,1776.919344960778,0.5042891106642714,0.365753562287001,0.5973784343469587,1746.6930182333097,1417.6224446037647,2091.7909790554077,575.9958625916618,reportable
L4_full,6,2839.2200276105,1705.078708291712,0.6005447593741841,0.44612452299246896,0.7569227764445003,1134.141319318788,619.3197714503698,1783.7603422508225,403.09225780575946,reportable
