action_rate,approach_open,box_target,grasp,gripper_align,gripper_box,hold_target,lift,no_floor_collision,robot_target_qpos,success_bonus,step,reward_total,box_target_dist,success,out_of_bounds
-0.12731419801712038,0.37240999937057495,0.0,0.0,0.6620810925960541,0.056990742683410645,0.0,0.0,0.25,0.04678806066513062,0.0,0,1.260955810546875,0.08101342618465424,0.0,0.0
-0.1447768211364746,0.40093445777893066,0.0,0.0,0.6596273928880692,0.05716061592102051,0.0,0.0,0.25,0.046908867359161374,0.0,1,1.2698545455932617,0.08054383844137192,0.0,0.0
-0.0002762557240203023,0.4122600853443146,0.0,0.0,0.6600265949964523,0.057421326637268066,0.0,0.0,0.25,0.04710658192634582,0.0,2,1.4265384674072266,0.08039417117834091,0.0,0.0
-0.00013574293116107585,0.4097737669944763,0.0,0.0,0.6620146334171295,0.05778157711029053,0.0,0.0,0.25,0.047379934787750246,0.0,3,1.4268141984939575,0.08034366369247437,0.0,0.0
-0.00018868637271225454,0.39700037240982056,0.0,0.0,0.664835199713707,0.05824768543243408,0.0,0.0,0.25,0.04772690534591675,0.0,4,1.4176214933395386,0.08032642304897308,0.0,0.0
-0.0002773106098175049,0.3761371076107025,0.0,0.0,0.6681716442108154,0.05882859230041504,0.0,0.0,0.25,0.04814554452896118,0.0,5,1.4010056257247925,0.08032050728797913,0.0,0.0
-0.0004002999980002642,0.3485603332519531,0.0,0.0,0.6718933582305908,0.05953669548034668,0.0,0.0,0.25,0.048633724451065063,0.0,6,1.3782237768173218,0.08031848818063736,0.0,0.0
-0.0005477706901729107,0.3153248429298401,0.0,0.0,0.6759083271026611,0.0603863000869751,0.0,0.0,0.25,0.04918887019157409,0.0,7,1.350260615348816,0.08031780272722244,0.0,0.0
-0.0007057943847030402,0.27761995792388916,0.0,0.0,0.6801354140043259,0.061397433280944824,0.0,0.0,0.25,0.0498071014881134,0.0,8,1.3182541131973267,0.08031755685806274,0.0,0.0
-0.0008691306225955487,0.23723585903644562,0.0,0.0,0.6845121830701828,0.06259262561798096,0.0,0.0,0.25,0.0504830002784729,0.0,9,1.2839545011520386,0.08031748235225677,0.0,0.0
-0.001074016559869051,0.1969216763973236,0.0,0.0,0.6890186667442322,0.0639958381652832,0.0,0.0,0.25,0.05120907425880432,0.0,10,1.2500711679458618,0.08031745254993439,0.0,0.0
-0.0013848438858985901,0.16039606928825378,0.0,0.0,0.6936602294445038,0.06563496589660645,0.0,0.0,0.25,0.05197675824165344,0.0,11,1.2202832698822021,0.08031744509935379,0.0,0.0
-0.0017898896709084512,0.13182155787944794,0.0,0.0,0.6985072791576385,0.06755053997039795,0.0,0.0,0.25,0.052777755260467525,0.0,12,1.1988672018051147,0.08031744509935379,0.0,0.0
-0.002147587016224861,0.11504527181386948,0.0,0.0,0.7037666440010071,0.06980299949645996,0.0,0.0,0.25,0.05360555648803711,0.0,13,1.1900728940963745,0.0803174376487732,0.0,0.0
-0.002263176627457142,0.11308214068412781,0.0,0.0,0.709892138838768,0.07248234748840332,0.0,0.0,0.25,0.05445490479469299,0.0,14,1.1976484060287476,0.0803174376487732,0.0,0.0
-0.0020813129842281344,0.12799496948719025,0.0,0.0,0.7175357639789581,0.07570421695709229,0.0,0.0,0.25,0.05531979203224182,0.0,15,1.2244733572006226,0.0803174376487732,0.0,0.0
-0.0017016835510730744,0.16083131730556488,0.0,0.0,0.7274069637060165,0.07959794998168945,0.0,0.0,0.25,0.05619117021560669,0.0,16,1.2723257541656494,0.0803174376487732,0.0,0.0
-0.0012367093935608865,0.2112446278333664,0.0,0.0,0.7400649785995483,0.08428990840911865,0.0,0.0,0.25,0.057057201862335205,0.0,17,1.34142005443573,0.0803174376487732,0.0,0.0
-0.0008721794933080674,0.27691951394081116,0.0,0.0,0.7557068765163422,0.08990108966827393,0.0,0.0,0.25,0.05790474414825439,0.0,18,1.4295600652694702,0.0803174376487732,0.0,0.0
-0.0007459442131221294,0.35347574949264526,0.0,0.0,0.7741595804691315,0.09654772281646729,0.0,0.0,0.25,0.05872231721878052,0.0,19,1.5321595668792725,0.0803174376487732,0.0,0.0
-0.0008020385168492794,0.4352453649044037,0.0,0.0,0.7949995249509811,0.10434997081756592,0.0,0.0,0.25,0.05950140953063965,0.0,20,1.643294334411621,0.0803174376487732,0.0,0.0
-0.0009091717191040517,0.5165592432022095,0.0,0.0,0.8176319301128387,0.11343395709991455,0.0,0.0,0.25,0.06023595929145813,0.0,21,1.756951928138733,0.0803174376487732,0.0,0.0
-0.001018767710775137,0.5858750939369202,0.0,0.0,0.8413413166999817,0.12393343448638916,0.0,0.0,0.25,0.060920816659927365,0.0,22,1.8610519170761108,0.0803174376487732,0.0,0.0
-0.000908662099391222,0.6363148093223572,0.0,0.0,0.8651982992887497,0.1359783411026001,0.0,0.0,0.25,0.06156034469604492,0.0,23,1.9481432437896729,0.0803174376487732,0.0,0.0
