gripper_box,approach_open,grasp,lift,box_target,hold_target,gripper_align,no_floor_collision,robot_target_qpos,action_rate,raw_gripper_box,raw_approach_open,raw_grasp,raw_lift,raw_box_target,raw_hold_target,raw_gripper_align,raw_no_floor_collision,raw_robot_target_qpos,raw_action_rate,reward_total,reached,grasped,lifted,a_jaw,a_app,alignment,gripper_box_dist,box_target_dist,dist_min,step,time
1.010122429188735,0.7615941559557649,0.0,0.0,0.0,0.0,2.0549087644396544,0.25,0.3,-0.013364554799695415,0.25253060729718374,0.7615941559557649,0.0,0.0,0.0,0.0,0.5137271911099136,1.0,1.0,1.3364554799695414,4.363260794784459,0.0,0.0,0.0,0.889731119536838,0.9821706073760388,0.7516675624816831,0.10926941172004775,0.3379800868206052,0.3379800868206052,0,0.027211643988266587
1.0107948239355695,0.7615941559557647,0.0,0.0,0.0,0.0,2.055715972496095,0.25,0.2999468210822125,-0.0002807870555868264,0.2526987059838924,0.7615941559557647,0.0,0.0,0.0,0.0,0.5139289931240237,1.0,0.9998227369407083,0.028078705558682637,4.377770986414054,0.0,0.0,0.0,0.8897348972168563,0.9821925016492374,0.7517089802760174,0.10918391751635877,0.33793171851867343,0.33793171851867343,1,0.047276591998524964
1.011225690158347,0.7615941559557641,0.0,0.0,0.0,0.0,2.0545375077946084,0.25,0.2997310992899335,-8.194942248871407e-06,0.25280642253958674,0.7615941559557641,0.0,0.0,0.0,0.0,0.5136343769486521,1.0,0.9991036642997785,0.0008194942248871406,4.377080258256403,0.0,0.0,0.0,0.8894288790138227,0.9821905058277619,0.7511156326224538,0.10912916163910369,0.3379265386552023,0.3379265386552023,2,0.06731193599989638
1.011644713722381,0.7615941559557646,0.0,0.0,0.0,0.0,2.053406409815332,0.25,0.29929518614196576,-4.958955335010451e-07,0.25291117843059524,0.7615941559557646,0.0,0.0,0.0,0.0,0.513351602453833,1.0,0.9976506204732192,4.958955335010451e-05,4.37593996973991,0.0,0.0,0.0,0.8892379342334759,0.9820601320832983,0.7505443599536783,0.10907593193159201,0.3379556399855275,0.3379265386552023,3,0.08731486101169139
1.0134857896432938,0.7615941559557651,0.0,0.0,0.0,0.0,2.0535240633312055,0.25,0.29867897899575563,-5.7660560017769317e-08,0.25337144741082346,0.7615941559557651,0.0,0.0,0.0,0.0,0.5133810158328014,1.0,0.9955965966525188,5.766056001776931e-06,4.37728293026546,0.0,0.0,0.0,0.8889843414862779,0.9819573919891156,0.7498955149893202,0.10884230226714288,0.3379483058816205,0.3379265386552023,4,0.10731967200990766
1.015012435407336,0.7615941559557647,0.0,0.0,0.0,0.0,2.052261743866016,0.25,0.29784777495449793,-3.146048303759308e-07,0.253753108851834,0.7615941559557647,0.0,0.0,0.0,0.0,0.513065435966504,1.0,0.9928259165149932,3.146048303759308e-05,4.376715795578785,0.0,0.0,0.0,0.8885996309807451,0.9817701733125905,0.7488628462672092,0.10864887865966961,0.33797734186961376,0.3379265386552023,5,0.12733956199372187
1.0172344248521894,0.7615941559557647,0.0,0.0,0.0,0.0,2.0498180045952608,0.25,0.296872868838281,-2.916451588874658e-07,0.25430860621304735,0.7615941559557647,0.0,0.0,0.0,0.0,0.5124545011488152,1.0,0.9895762294609368,2.9164515888746578e-05,4.375519162596337,0.0,0.0,0.0,0.8878995917190212,0.9815309722778182,0.7471426701865159,0.10836785053465957,0.3379481577509654,0.3379265386552023,6,0.14734105399111286
1.019467657843508,0.7615941559557642,0.0,0.0,0.0,0.0,2.0496310119087564,0.25,0.29587739486640807,-2.4845360885983325e-07,0.254866914460877,0.7615941559557642,0.0,0.0,0.0,0.0,0.5124077529771891,1.0,0.986257982888027,2.4845360885983325e-05,4.376569972120828,0.0,0.0,0.0,0.8875239221647593,0.9814187145428518,0.7462450738526503,0.10808599062712802,0.3379858636728749,0.3379265386552023,7,0.16733154299436137
1.022123745538585,0.761594155955765,0.0,0.0,0.0,0.0,2.0484401869298554,0.25,0.2949854101090868,-1.16961024763107e-07,0.25553093638464625,0.761594155955765,0.0,0.0,0.0,0.0,0.5121100467324639,1.0,0.9832847003636227,1.1696102476310699e-05,4.377143381572267,0.0,0.0,0.0,0.8869331538034209,0.9812392439487431,0.7448296735802439,0.10775153147326078,0.33794001134276436,0.3379265386552023,8,0.1873107369756326
1.0241654483435256,0.7615941559557647,0.0,0.0,0.0,0.0,2.0506826201733706,0.25,0.29418725888941005,-1.3238139819016227e-07,0.2560413620858814,0.7615941559557647,0.0,0.0,0.0,0.0,0.5126706550433426,1.0,0.9806241962980335,1.3238139819016226e-05,4.380629350980673,0.0,0.0,0.0,0.8868635321785049,0.9813664463082077,0.7448924947640314,0.10749500504079926,0.33801084622204974,0.3379265386552023,9,0.2073157670092769
1.0261493623032145,0.761594155955765,0.0,0.0,0.0,0.0,2.0487070331684745,0.25,0.2935043352130262,-6.287408467642308e-08,0.25653734057580363,0.761594155955765,0.0,0.0,0.0,0.0,0.5121767582921186,1.0,0.9783477840434208,6.287408467642308e-06,4.379954823766395,0.0,0.0,0.0,0.8863027296450886,0.9811296766028761,0.743446829539799,0.10724621236146445,0.33797734186961376,0.3379265386552023,10,0.22725860198261216
1.0282875403989788,0.7615941559557642,0.0,0.0,0.0,0.0,2.0501756116467753,0.25,0.29288289526755945,-2.8071406028562508e-08,0.2570718850997447,0.7615941559557642,0.0,0.0,0.0,0.0,0.5125439029116938,1.0,0.9762763175585316,2.8071406028562507e-06,4.382940175197672,0.0,0.0,0.0,0.8861360260699764,0.9811758178244592,0.7431972725428304,0.10697859592198325,0.33800296014778913,0.3379265386552023,11,0.24731340701691806
1.0302909095473372,0.7615941559557642,0.0,0.0,0.0,0.0,2.0502355376244843,0.25,0.29231874168464134,-5.763245282119911e-08,0.2575727273868343,0.7615941559557642,0.0,0.0,0.0,0.0,0.5125588844061211,1.0,0.9743958056154711,5.763245282119911e-06,4.384439287179775,0.0,0.0,0.0,0.885816942684627,0.9811144320637276,0.7424883970411122,0.10672834324516065,0.3379763213418523,0.3379265386552023,12,0.2672830040100962
