step,time,q0,q1,q2,q3,q4,q5,current0,current1,current2,current3,current4,current5,ctrl_output0,ctrl_output1,ctrl_output2,ctrl_output3,ctrl_output4,ctrl_output5,tcp_force0,tcp_force1,tcp_force2,tcp_force3,tcp_force4,tcp_force5,ctrl_pre_alpha0,ctrl_pre_alpha1,ctrl_pre_alpha2,ctrl_pre_alpha3,ctrl_pre_alpha4,ctrl_pre_alpha5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,obs_q0,obs_q1,obs_q2,obs_q3,obs_q4,obs_q5,action0,action1,action2,action3,action4,action5,action6,gripper_norm,gripper_ctrl,finger_pos_est,gripper_obs,gripper_fb_pos,gripper_fb_pct,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,target_x,target_y,target_z,box_to_target_dist,recv_time_s,mocap_time_s,obs_time_s,policy_time_s,ctrl_time_s,send_time_s,compute_time_s,sleep_time_s,loop_dt_true_s,loop_hz_true,overrun_count
10,0.32062613702146336,-0.00622731844057256,-1.967250486413473,1.6199606100665491,-1.587529798547262,-1.5104559103595179,0.009271382354199886,-0.25608426332473755,-0.14356938004493713,-0.777004599571228,-0.39226463437080383,-0.16356006264686584,0.18034377694129944,-0.24578654766082764,-0.3797738552093506,-1.3190453052520752,-0.9296204447746277,-0.03285237401723862,0.17845499515533447,-3.163852112089283,-1.0103704245280554,0.6387599391584026,-0.0629306364257897,0.46579170373010037,-0.016229507237939804,-0.0087406,-1.9366949,1.6371796,-1.5742046,-1.5207534,0.013653945,-0.0087406,-1.9366949,1.6371796,-1.5742046,-1.5207534,0.013653945,-0.006227318663150072,-1.9672504663467407,1.6199606657028198,-1.5875297784805298,-1.5104559659957886,0.009271382354199886,-0.062832035,0.7638892,0.43047416,0.33312935,-0.25743592,0.10956409,0.650999,1.0,0.05000000074505806,0.025,0.05000000074505806,0.00264705,10.5882,0.2703732117036045,0.1436201433431481,0.2579851952488257,0.420245833416222,0.08534033766199454,0.04338501469112517,0.3,-0.2,0.3,0.4021559702256727,0.0001250689965672791,7.994999759830534e-05,0.00010916500468738377,0.000388601009035483,0.0002167790080420673,0.00011552899377420545,0.0014187099877744913,0.018407777009997517,0.019826486997772008,50.4375787860136,1
11,0.34063517799950205,-0.006491486226217091,-1.9642592869200648,1.621765438710348,-1.5861135921873988,-1.5114968458758753,0.009543383494019508,-0.23743346333503723,-0.18901686370372772,-0.863599956035614,-0.43426576256752014,-0.14497104287147522,0.2012958824634552,-0.2366800159215927,-0.44650301337242126,-1.3690646886825562,-0.9648358225822449,-0.021334407851099968,0.17975641787052155,-3.2482625289262144,-1.0164510107123308,0.310032177424985,-0.06550007431944566,0.45850587226199224,-0.013623696802495876,-0.008823122,-1.9336225,1.6386882,-1.5730244,-1.5217444,0.014018749,-0.008823122,-1.9336225,1.6386882,-1.5730244,-1.5217444,0.014018749,-0.006491486448794603,-1.9642592668533325,1.6217654943466187,-1.5861135721206665,-1.511496901512146,0.009543383494019508,-0.05829088,0.76591843,0.42306638,0.32723,-0.2561871,0.11188413,0.6479686,1.0,0.05000000074505806,0.025,0.05000000074505806,0.00264705,10.5882,0.270241354376718,0.14330339514119383,0.25627892967402394,0.420240540650313,0.08536343035791326,0.04335870557404919,0.3,-0.2,0.3,0.40218756067174555,7.436299347318709e-05,8.469101157970726e-05,0.00012107199290767312,0.0002856270002666861,0.00019567200797609985,0.00019338098354637623,0.0015206350071821362,0.018284772988408804,0.01980540799559094,50.49125977221065,1
12,0.36064339100266807,-0.006747070943013966,-1.961219926873678,1.6235812346087855,-1.5846759281554164,-1.512573544179098,0.009830916300415993,-0.21668359637260437,-0.21249988675117493,-0.8409779667854309,-0.4318349063396454,-0.1526629477739334,0.19147947430610657,-0.22864441573619843,-0.5026841759681702,-1.4099210500717163,-0.9911600351333618,-0.0122645553201437,0.18067561089992523,-2.988648921179946,-1.39987970622392,0.0658482086936647,-0.05743144726913595,0.4447475497481731,-0.01839276134259704,-0.008906512,-1.930503,1.6401852,-1.5718416,-1.5227841,0.014408698,-0.008906512,-1.930503,1.6401852,-1.5718416,-1.5227841,0.014408698,-0.006747071165591478,-1.9612199068069458,1.6235812902450562,-1.584675908088684,-1.5125735998153687,0.009830916300415993,-0.05398602,0.7679213,0.4150973,0.32085684,-0.25526258,0.114444554,0.64472526,1.0,0.05000000074505806,0.025,0.05000000074505806,0.00264705,10.5882,0.27009737981398696,0.14298063529335409,0.25455574559962235,0.4202622814907998,0.08534485464760773,0.04336266704980214,0.3,-0.2,0.3,0.40217835351899567,6.007400224916637e-05,7.93350045569241e-05,0.00010941599612124264,0.0003776670200750232,0.00027513501117937267,0.00017801500507630408,0.0014650069933850318,0.018351664999499917,0.01981667199288495,50.46256002819463,1
13,0.38062073301989585,-0.006998840962545216,-1.958201070825094,1.6253536383258265,-1.5831676922240199,-1.5136593023883265,0.010154771618545055,-0.22182397544384003,-0.22672277688980103,-0.8331716656684875,-0.47397661209106445,-0.12531772255897522,0.1791817843914032,-0.224518820643425,-0.5354269742965698,-1.4319969415664673,-1.0030959844589233,-0.007623093668371439,0.18102893233299255,-3.281913595796713,-1.209480062512688,0.16706591148294714,-0.05095070972843084,0.4433447936103185,-0.005302154740213021,-0.008983491,-1.9274075,1.6416479,-1.5705844,-1.5238214,0.014827369,-0.008983491,-1.9274075,1.6416479,-1.5705844,-1.5238214,0.014827369,-0.006998841185122728,-1.9582010507583618,1.6253536939620972,-1.5831676721572876,-1.5136593580245972,0.010154771618545055,-0.049616236,0.76984,0.4073548,0.3145816,-0.25404885,0.11681492,0.64154327,1.0,0.05000000074505806,0.025,0.05000000074505806,0.00264705,10.5882,0.26993187665561763,0.14265697294460328,0.2528464340539759,0.42024093452202166,0.08534286419276163,0.04330376283127391,0.3,-0.2,0.3,0.4022081496080916,0.00018845999147742987,0.0001262880105059594,0.00011417397763580084,0.0004273689992260188,0.0002990890061482787,0.00010963002569042146,0.0017269839881919324,0.018050234008114785,0.019777217996306717,50.56322887206605,1
14,0.40063436701893806,-0.007246796284810841,-1.955306192437643,1.6270840803729456,-1.5817467174925746,-1.5146563688861292,0.010502075776457787,-0.22215597331523895,-0.21461638808250427,-0.8728885650634766,-0.48194798827171326,-0.14484412968158722,0.19287118315696716,-0.22285215556621552,-0.5528391599655151,-1.441911220550537,-1.0058960914611816,-0.005794595927000046,0.18101049959659576,-2.7636176068656617,-1.1624547143680355,0.0065428655015399295,-0.05121838046282957,0.4263320254436521,-0.014931800954141409,-0.009066858,-1.9244376,1.6430435,-1.569433,-1.5247759,0.015281849,-0.009066858,-1.9244376,1.6430435,-1.569433,-1.5247759,0.015281849,-0.007246796507388353,-1.9553061723709106,1.6270841360092163,-1.5817466974258423,-1.5146564245224,0.010502075776457787,-0.045501538,0.77171326,0.39898536,0.30784202,-0.25298476,0.11949432,0.6382191,1.0,0.05000000074505806,0.025,0.05000000074505806,0.00264705,10.5882,0.2697651010419223,0.14235542105908708,0.25120479060418904,0.42025962729593613,0.08534002249177709,0.04334238829566253,0.3,-0.2,0.3,0.4021870721337031,5.822000093758106e-05,9.522400796413422e-05,0.00021542099420912564,0.00036945700412616134,0.00021211401326581836,0.0001867729879450053,0.0015810669865459204,0.018272618006449193,0.019853684992995113,50.36848324896993,1
15,0.42063741700258106,-0.00747090974916631,-1.952414175073141,1.6287215391742151,-1.5804888210692347,-1.5156410376178187,0.010912604629993439,-0.2616426944732666,-0.2325061559677124,-0.8903615474700928,-0.4759644865989685,-0.14793872833251953,0.1791698932647705,-0.22263994812965393,-0.560882031917572,-1.4444129467010498,-1.0032789707183838,-0.00573463412001729,0.18077081441879272,-3.094578830526152,-1.3142640390432705,0.11913236851373932,-0.05069948070987613,0.42224684394893347,-0.007786725978468231,-0.009142588,-1.9214766,1.6443611,-1.5684333,-1.5257229,0.015791453,-0.009142588,-1.9214766,1.6443611,-1.5684333,-1.5257229,0.015791453,-0.007470909971743822,-1.9524141550064087,1.6287215948104858,-1.5804888010025024,-1.5156410932540894,0.010912604629993439,-0.041791946,0.7734391,0.39098904,0.30138788,-0.25204527,0.121971235,0.6350295,1.0,0.05000000074505806,0.025,0.05000000074505806,0.00264705,10.5882,0.26962885166573564,0.142063056499313,0.24962716521762282,0.4202535548213606,0.08532908264740804,0.043364518774258176,0.3,-0.2,0.3,0.40216337231011745,6.042901077307761e-05,7.852501585148275e-05,0.00011146898032166064,0.0003970240068156272,0.00022876900038681924,0.00011789999553002417,0.001379004999762401,0.018434490979416296,0.019813495979178697,50.47064894811419,1
16,0.4406320880225394,-0.007702652608053029,-1.9496365986266078,1.6302531401263636,-1.5792790851988734,-1.516562287007467,0.011325366795063019,-0.23928126692771912,-0.24724328517913818,-0.8755008578300476,-0.46081024408340454,-0.13244488835334778,0.1832074671983719,-0.22373631596565247,-0.5437203049659729,-1.4300051927566528,-0.9876617193222046,-0.00974770076572895,0.17969153821468353,-2.856855268183266,-1.2422131444925972,0.03924618126122048,-0.048274373660483656,0.42018471420030207,0.005936801722508794,-0.009220698,-1.9186412,1.6455963,-1.5674636,-1.5265967,0.016287584,-0.009220698,-1.9186412,1.6455963,-1.5674636,-1.5265967,0.016287584,-0.007702652830630541,-1.9496365785598755,1.6302531957626343,-1.5792790651321411,-1.5165623426437378,0.011325366795063019,-0.03795112,0.7748846,0.38357642,0.2953861,-0.25085667,0.124055445,0.6321263,1.0,0.05000000074505806,0.025,0.05000000074505806,0.00264705,10.5882,0.2694968509842213,0.14178368438196995,0.2481299955401623,0.42026703832174594,0.08532668960137596,0.043279998129018574,0.3,-0.2,0.3,0.4022196472329181,7.414998253807425e-05,8.474697824567556e-05,0.00011643898324109614,0.00035722798202186823,0.00022294899099506438,0.00027497299015522003,0.001544377999380231,0.01825784399989061,0.01980222199927084,50.49938335388938,1
17,0.4606218930275645,-0.007919136677877248,-1.9469243488707484,1.6317818800555628,-1.578132768670553,-1.5174520651446741,0.011791207827627659,-0.2728165090084076,-0.2805521488189697,-0.8442689180374146,-0.48287907242774963,-0.11507825553417206,0.19655463099479675,-0.22510653734207153,-0.5289859175682068,-1.4170873165130615,-0.9738146066665649,-0.013431589119136333,0.1786947250366211,-2.7302350312503063,-1.0423432979000236,0.05295054284253331,-0.04513470831791985,0.4143691632444046,-0.014428398225678506,-0.009304065,-1.9158657,1.6467972,-1.5665815,-1.5274477,0.016855162,-0.009304065,-1.9158657,1.6467972,-1.5665815,-1.5274477,0.016855162,-0.007919136434793472,-1.9469243288040161,1.6317819356918335,-1.5781327486038208,-1.5174521207809448,0.011791207827627659,-0.034623224,0.7764677,0.37538198,0.28878048,-0.2498888,0.12659882,0.62894106,1.0,0.05000000074505806,0.025,0.05000000074505806,0.00264705,10.5882,0.26936122571598076,0.14151594406377047,0.24666478483568927,0.4202535548213606,0.08532908264740804,0.043364518774258176,0.3,-0.2,0.3,0.40216337231011745,6.242899689823389e-05,7.853400893509388e-05,0.00011209800140932202,0.0003709179873112589,0.00022601999808102846,0.00010164498235099018,0.0013401899777818471,0.01846260402817279,0.019802794005954638,50.49792467160458,1
18,0.4806824040133506,-0.008076492940084279,-1.9442483387389125,1.6331852118121546,-1.577097555200094,-1.518371884022848,0.012222550809383392,-0.22401928901672363,-0.23139792680740356,-0.8269034624099731,-0.4422195255756378,-0.104744091629982,0.2001534104347229,-0.21168875694274902,-0.5218964219093323,-1.4091815948486328,-0.9638276696205139,-0.016087232157588005,0.17791655659675598,-2.6516233110527025,-1.3144771279368856,0.1369551320044643,-0.048705962155340794,0.4022556274435881,-0.008246922691694131,-0.009323542,-1.9131391,1.6479124,-1.5657786,-1.5283167,0.017365288,-0.009323542,-1.9131391,1.6479124,-1.5657786,-1.5283167,0.017365288,-0.008076492697000504,-1.9442483186721802,1.6331852674484253,-1.5770975351333618,-1.5183719396591187,0.012222550809383392,-0.031176243,0.7777289,0.3681781,0.28297323,-0.24862081,0.12856843,0.62617886,1.0,0.05000000074505806,0.025,0.05000000074505806,0.00264705,10.5882,0.2692450054852095,0.1412568379562931,0.24527392755803554,0.42025872429469585,0.08533303229015854,0.04328162221958154,0.3,-0.2,0.3,0.4022206241967999,5.877300282008946e-05,8.786699618212879e-05,0.00014908998855389655,0.0002832809987012297,0.0002382249804213643,0.00011910198372788727,0.0013577189820352942,0.018506479013012722,0.019864197995048016,50.34182604549612,1
19,0.5006856990221422,-0.00828725496401006,-1.9415670833983363,1.6346028486834925,-1.576031347314352,-1.5192106405841272,0.012674140743911266,-0.25497859716415405,-0.2165990173816681,-0.8042557239532471,-0.43139877915382385,-0.13710865378379822,0.1869911104440689,-0.1896618902683258,-0.519844651222229,-1.4046392440795898,-0.9565016627311707,-0.018010206520557404,0.1773003488779068,-2.7482780712290875,-1.3438940447161116,0.2897521324031449,-0.04868720009187122,0.40017937682239013,-0.0033518312228665113,-0.009404422,-1.9104081,1.6490183,-1.5649647,-1.5291175,0.01790535,-0.009404422,-1.9104081,1.6490183,-1.5649647,-1.5291175,0.01790535,-0.008287254720926285,-1.941567063331604,1.6346029043197632,-1.5760313272476196,-1.519210696220398,0.012674140743911266,-0.027929185,0.7789745,0.36038563,0.276668,-0.24766953,0.13078025,0.62320447,1.0,0.05000000074505806,0.025,0.05000000074505806,0.00264705,10.5882,0.269121511127115,0.1410027093159547,0.24387539203622965,0.42027417571451375,0.08532419176426799,0.0432583230935009,0.3,-0.2,0.3,0.40223384413149954,0.0001079769863281399,0.00011046600411646068,0.00015641399659216404,0.00031236300128512084,0.0001995359780266881,0.00013190199388191104,0.0015055859985295683,0.018247171014081687,0.019752757012611255,50.62584424855449,1
