config_id,seed,episode_id,repeat,cube_size,term,domain,scaled_return_H,achieved_hz,overrun_count,stop_reason,protocol_hash,policy_run_id
L0_none,1,3,1,3cm,box_target,sim,0.0,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,3,1,3cm,hold_target,sim,0.0,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,3,1,3cm,no_floor_collision,sim,33.0,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,3,1,3cm,robot_target_qpos,sim,1.7671363592147726,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,3,1,3cm,action_rate,sim,-8.306897462334549,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,3,2,3cm,gripper_box,sim,103.62041389942169,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,3,2,3cm,approach_open,sim,40.90471709064467,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,3,2,3cm,gripper_align,sim,225.14625446405262,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,3,2,3cm,grasp,sim,0.0,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,3,2,3cm,lift,sim,0.0,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
